,age,education-num,hours-per-week,income,Count
0,17,7-8,20-36,<=50K,93
1,17,7-8,20-36,<=50K.,52
2,31-32,9,40-99,<=50K,407
3,31-32,9,40-99,<=50K.,218
4,31-32,9,40-99,>50K,75
5,31-32,9,40-99,>50K.,43
6,33-34,9,40-99,<=50K,440
7,33-34,9,40-99,<=50K.,233
8,33-34,9,40-99,>50K,79
9,33-34,9,40-99,>50K.,40
10,35-36,9,40-99,<=50K,435
11,35-36,9,40-99,<=50K.,225
12,35-36,9,40-99,>50K,102
13,35-36,9,40-99,>50K.,49
14,21-22,10,40-98,<=50K,296
15,21-22,10,40-98,<=50K.,157
16,21-22,10,40-98,>50K,4
17,21-22,10,40-98,>50K.,2
18,23-24,10,40-80,<=50K,275
19,23-24,10,40-80,<=50K.,132
20,23-24,10,40-80,>50K,14
21,23-24,10,40-80,>50K.,5
22,28-29,10,40-90,<=50K,238
23,28-29,10,40-90,<=50K.,126
24,28-29,10,40-90,>50K,33
25,28-29,10,40-90,>50K.,19
26,32-33,10,40-99,<=50K,218
27,32-33,10,40-99,<=50K.,96
28,32-33,10,40-99,>50K,48
29,32-33,10,40-99,>50K.,34
30,37,9,40-99,<=50K,197
31,37,9,40-99,<=50K.,91
32,37,9,40-99,>50K,60
33,37,9,40-99,>50K.,27
34,37,10-12,40-99,<=50K,144
35,37,10-12,40-99,<=50K.,71
36,37,10-12,40-99,>50K,81
37,37,10-12,40-99,>50K.,31
38,41-42,10-12,40-99,<=50K,255
39,41-42,10-12,40-99,<=50K.,143
40,41-42,10-12,40-99,>50K,140
41,41-42,10-12,40-99,>50K.,80
42,18-33,7-8,14-19,<=50K,53
43,18-33,7-8,14-19,<=50K.,32
44,17-18,9,30-38,<=50K,34
45,17-18,9,30-38,<=50K.,22
46,21,9,40-70,<=50K,148
47,21,9,40-70,<=50K.,82
48,21,9,40-70,>50K,1
49,21,9,40-70,>50K.,1
50,24,9,40-98,<=50K,190
51,24,9,40-98,<=50K.,97
52,24,9,40-98,>50K,8
53,24,9,40-98,>50K.,2
54,25,9,40-95,<=50K,195
55,25,9,40-95,<=50K.,95
56,25,9,40-95,>50K,9
57,25,9,40-95,>50K.,3
58,26,9,40-96,<=50K,206
59,26,9,40-96,<=50K.,97
60,26,9,40-96,>50K,14
61,26,9,40-96,>50K.,4
62,29,9,40-99,<=50K,224
63,29,9,40-99,<=50K.,85
64,29,9,40-99,>50K,25
65,29,9,40-99,>50K.,10
66,30,9,40-99,<=50K,213
67,30,9,40-99,<=50K.,102
68,30,9,40-99,>50K,31
69,30,9,40-99,>50K.,14
70,19,10-12,18,<=50K,4
71,19,10-12,18,<=50K.,5
72,20-21,10-12,18-19,<=50K,8
73,20-21,10-12,18-19,<=50K.,6
74,20-21,10-13,20-24,<=50K,139
75,20-21,10-13,20-24,<=50K.,59
76,22,10,20-24,<=50K,46
77,22,10,20-24,<=50K.,28
78,18,10,25-28,<=50K,12
79,18,10,25-28,<=50K.,8
80,21,10-13,25-29,<=50K,27
81,21,10-13,25-29,<=50K.,16
82,20,10,40-72,<=50K,139
83,20,10,40-72,<=50K.,75
84,25,10,40-80,<=50K,127
85,25,10,40-80,<=50K.,55
86,25,10,40-80,>50K,12
87,25,10,40-80,>50K.,4
88,30,10,40-99,<=50K,124
